diskType, runtime, opType, pool, volume, blockSize, ioDepth, recoveryLimit,expectCost,actualCost
hdd,180,read,disk2_pool,foo1,32k,256,500,1,381.521347
hdd,180,read,disk2_pool,foo1,32k,256,600,1,256.467743
hdd,180,read,disk2_pool,foo1,64k,1,1,1,2.114679
hdd,180,read,disk2_pool,foo1,64k,1,158,1,1.4919
hdd,180,read,disk2_pool,foo1,64k,1,316,1,3.734245
hdd,180,read,disk2_pool,foo1,64k,1,500,1,3.785275
hdd,180,read,disk2_pool,foo1,64k,1,600,1,11.301492
hdd,180,read,disk2_pool,foo1,64k,8,1,1,3.681856
hdd,180,read,disk2_pool,foo1,64k,8,158,1,7.492639
hdd,180,read,disk2_pool,foo1,64k,8,316,1,10.834956
hdd,180,read,disk2_pool,foo1,64k,8,500,1,10.994012
hdd,180,read,disk2_pool,foo1,64k,8,600,1,9.146415
hdd,180,read,disk2_pool,foo1,64k,16,1,1,12.686908
hdd,180,read,disk2_pool,foo1,64k,16,158,1,15.78149
hdd,180,read,disk2_pool,foo1,64k,16,316,1,25.538719
hdd,180,read,disk2_pool,foo1,64k,16,500,1,21.421461
hdd,180,read,disk2_pool,foo1,64k,16,600,1,71.382922
hdd,180,read,disk2_pool,foo1,64k,32,1,1,27.114978
hdd,180,read,disk2_pool,foo1,64k,32,158,1,30.604413
hdd,180,read,disk2_pool,foo1,64k,32,316,1,27.027064
hdd,180,read,disk2_pool,foo1,64k,32,500,1,52.624732
hdd,180,read,disk2_pool,foo1,64k,32,600,1,60.128356
hdd,180,read,disk2_pool,foo1,64k,64,1,1,55.404388
hdd,180,read,disk2_pool,foo1,64k,64,158,1,53.802534
hdd,180,read,disk2_pool,foo1,64k,64,316,1,90.936372
hdd,180,read,disk2_pool,foo1,64k,64,500,1,237.716726
hdd,180,read,disk2_pool,foo1,64k,64,600,1,135.883083
hdd,180,read,disk2_pool,foo1,64k,128,1,1,88.787415
hdd,180,read,disk2_pool,foo1,64k,128,158,1,133.366797
hdd,180,read,disk2_pool,foo1,64k,128,316,1,187.943949
hdd,180,read,disk2_pool,foo1,64k,128,500,1,341.233237
hdd,180,read,disk2_pool,foo1,64k,128,600,1,695.598694
hdd,180,read,disk2_pool,foo1,64k,256,1,1,232.344839
hdd,180,read,disk2_pool,foo1,64k,256,158,1,301.441451
hdd,180,read,disk2_pool,foo1,64k,256,316,1,453.520172
hdd,180,read,disk2_pool,foo1,64k,256,500,1,462.055326
hdd,180,read,disk2_pool,foo1,64k,256,600,1,873.626358
